id,full_name,email,country,street_address,phone,date,key,value
1,Shawn Alexander,,Guam,4875 Evergreen Crossing,4-(121)843-6317,5/10/2013,phone,544
2,Lori Hamilton,lhamilton@tazzy.com,Tuvalu,2438 Dorton Place,2-(938)152-8715,2/13/2014,phone,690
3,Theresa Nguyen,tnguyen@dabtype.com,Bermuda,28 Mayfield Point,0-(199)704-0701,5/27/2013,mail,329
4,Debra Walker,,Suriname,817 Johnson Hill,5-(077)423-5914,1/22/2014,phone,343
5,Jimmy Anderson,janderson@mynte.info,Malaysia,9 Lindbergh Park,4-(853)906-7106,7/15/2013,url,658
6,Lillian Duncan,,Nauru,34230 Carey Road,3-(657)281-3731,3/13/2014,url,533
7,Jane Young,,Germany,4 Reinke Drive,2-(884)627-4773,8/13/2013,url,231
8,Jessica Parker,,Turkey,30756 Luster Drive,3-(765)724-3022,3/6/2014,mail,444
9,Gregory Simpson,,American Samoa,89793 Boyd Crossing,,5/26/2013,email,581
10,Edward Ford,,Slovenia,7853 Portage Terrace,8-(287)764-7280,4/13/2014,mail,878
11,Maria Hall,mhall@babbleopia.edu,Taiwan,794 Troy Avenue,7-(416)347-5854,6/29/2014,phone,370
12,Christine Johnston,,El Salvador,0 Prairie Rose Crossing,,11/24/2013,url,494
13,Joan King,jking@katz.gov,Grenada,41608 Manufacturers Avenue,2-(725)405-8154,7/9/2014,url,609
14,Marilyn Cooper,mcooper@devcast.edu,Vanuatu,6522 Northfield Point,1-(196)626-8336,9/8/2013,phone,92
15,Keith Nichols,knichols@skyble.mil,Netherlands Antilles,061 Logan Drive,3-(632)482-7392,1/4/2014,phone,565
16,Amanda Greene,,Portugal,6 Springs Place,7-(998)416-9681,10/7/2014,email,429
17,Todd Ward,tward@podcat.org,Ethiopia,76 Victoria Drive,3-(428)327-2807,12/17/2014,phone,434
18,Gary Foster,gfoster@skynoodle.com,Aruba,390 Lawn Park,7-(803)084-6606,7/11/2013,url,232
19,Joe Vasquez,jvasquez@buzzshare.mil,Cote d'Ivoire,233 Swallow Avenue,5-(487)289-2627,11/8/2013,url,27
20,Raymond Jenkins,rjenkins@meejo.org,Mongolia,4 Morrow Way,3-(252)219-9532,7/2/2014,phone,685
21,Diana Spencer,,Brazil,4550 High Crossing Street,5-(031)562-9892,1/9/2014,url,343
22,John Stevens,,San Marino,75292 Glacier Hill Circle,0-(856)369-7333,9/14/2013,phone,576
23,Kelly Rivera,,American Samoa,0 Darwin Pass,,5/26/2014,phone,35
24,Alan Hunt,ahunt@kwinu.edu,Åland,39619 Valley Edge Park,,8/27/2014,url,102
25,Carlos Powell,,Saudia Arabia,22485 Homewood Street,,11/16/2013,url,686
26,Rose Chapman,rchapman@livepath.biz,Kuwait,8694 Corry Avenue,,3/20/2014,email,338
27,Janice Kelley,jkelley@skinte.com,South Africa,88016 Larry Drive,2-(008)732-6698,8/3/2013,mail,122
28,Walter Owens,,Colombia,437 Basil Street,,3/11/2014,email,208
29,Katherine Perkins,,Macau,85 Ridge Oak Point,9-(056)311-7373,8/17/2014,email,332
30,Russell Holmes,,Yemen,778 Lillian Pass,,6/25/2014,phone,383
31,Philip Howell,phowell@edgeify.mil,Syria,91 Annamark Place,8-(039)091-6892,6/13/2013,mail,528
32,Edward Jenkins,,Cuba,31 Atwood Hill,,1/15/2014,phone,105
33,Lisa Henry,lhenry@youtags.org,Svalbard and Jan Mayen Islands,76 Twin Pines Parkway,6-(267)161-0901,4/16/2014,url,100
34,Maria Bell,,Bermuda,9 Cordelia Road,,2/10/2014,mail,12
35,Carol Chavez,cchavez@teklist.net,Trinidad and Tobago,7 Stoughton Circle,6-(146)956-1647,6/23/2014,phone,614
36,Eugene Fox,,Czech Republic,36196 Schmedeman Place,7-(801)177-4925,2/18/2014,phone,418
37,Ryan Wagner,,Netherlands Antilles,0 Bartelt Crossing,4-(450)552-9102,6/29/2014,url,466
38,Doris Jacobs,,Ireland,4 Dwight Alley,4-(905)072-8997,9/29/2013,url,137
39,Debra Spencer,dspencer@yambee.edu,British Indian Ocean Territory,842 Westport Parkway,,7/9/2014,url,233
40,Joyce Green,,Laos,3 Summit Crossing,,3/11/2014,mail,29
41,Jerry Kelly,,Denmark,48565 Muir Lane,7-(694)324-6159,6/16/2014,url,306
42,Frank Ruiz,fruiz@meetz.gov,Lebanon,494 Stoughton Alley,1-(565)376-2102,12/29/2014,url,66
43,Andrew Greene,agreene@jetpulse.edu,Ascension Island,81722 Pawling Plaza,4-(910)906-0465,11/22/2014,email,171
44,Louis Harris,,Gibraltar,619 Rigney Park,,5/10/2014,mail,98
45,Cheryl Crawford,,Mali,272 Johnson Circle,4-(372)629-0188,3/23/2014,mail,627
46,Bruce Larson,,Monaco,69598 Everett Drive,5-(441)814-4259,2/5/2014,email,274
47,Paula Gray,,Syria,83675 Killdeer Avenue,,7/27/2014,url,168
48,Brandon Hernandez,,Kiribati,44626 Dottie Drive,1-(156)115-0497,5/5/2014,url,46
49,Carolyn Bennett,,Isle of Man,889 Cody Alley,5-(075)105-8560,7/4/2014,phone,309
50,Jean Duncan,jduncan@gabtune.info,Tanzania,9968 Oriole Crossing,8-(269)651-0913,9/9/2014,mail,268
51,Douglas Perkins,,Botswana,8430 Parkside Way,5-(881)068-5056,2/11/2014,url,75
52,Shirley Wilson,,Luxembourg,4 Sunnyside Place,1-(561)681-9685,9/19/2014,mail,465
53,Helen Stanley,hstanley@gabcube.gov,Luxembourg,560 Eagan Park,8-(399)587-4311,8/16/2014,mail,160
54,Peter Rogers,,Saint Kitts and Nevis,049 Duke Hill,,5/18/2014,mail,288
55,Bonnie Jacobs,,Lesotho,92126 Memorial Park,2-(016)835-4213,1/5/2014,phone,706
56,Janet Turner,jturner@mymm.name,Falkland Islands (Malvinas),262 Debs Crossing,,12/17/2013,url,277
57,Lillian Simmons,,Libya,574 Randy Place,9-(378)519-5729,4/15/2014,email,372
58,Pamela Baker,pbaker@brainsphere.mil,Pakistan,08822 Brown Alley,9-(900)084-5791,3/3/2014,phone,529
59,Peter Moreno,pmoreno@trunyx.biz,Nauru,7465 Evergreen Crossing,2-(554)091-7051,12/28/2013,mail,421
60,Catherine Garcia,cgarcia@janyx.edu,Libya,68571 Troy Center,1-(997)188-2181,8/7/2014,email,373
61,Lawrence Fernandez,,Albania,922 Lerdahl Alley,,6/8/2014,phone,245
62,Roy Reid,,"Korea, North",51 Mendota Avenue,,7/3/2014,mail,303
63,Lisa Garza,lgarza@abatz.com,French Polynesia,53192 Clove Hill,,12/6/2014,email,307
64,Joseph Burton,,Northern Mariana Islands,549 Lake View Point,,6/29/2014,url,78
65,Patrick Gibson,,Jersey,2 Bultman Court,7-(591)515-6773,9/11/2014,email,283
66,Victor Hamilton,,Kiribati,21 Stoughton Place,8-(042)975-9281,8/31/2013,url,412
67,Martin Hernandez,,Croatia,12 Brickson Park Terrace,5-(766)035-1250,11/2/2013,email,354
68,Ann Bryant,,Poland,12 Forster Parkway,7-(848)116-4470,5/10/2014,phone,165
69,Peter Sims,psims@skibox.org,Cuba,7 Sunfield Road,,6/22/2014,email,358
70,Anna Howard,ahoward@voonder.name,Dominican Republic,9668 Meadow Vale Alley,2-(007)686-5258,7/3/2014,phone,157
71,George Lawson,glawson@jetwire.gov,Macau,722 La Follette Terrace,7-(828)760-5558,6/7/2014,phone,517
72,Roger Carpenter,rcarpenter@brainlounge.net,Bosnia and Herzegovina,635 Crownhardt Drive,,5/29/2014,phone,8
